wave_id,difficulty_id,wave_number,batch_id,spawn_order,archetype_id,monster_count,wait_seconds,spawn_interval,attack_speed,health,attack,armor,is_boss,boss_warning,enabled,member_role,movement_type_override,model_scale_multiplier,notes
n1_wave_17_17a,N1,17,17N1,43,carpet_red_large,7,90,1,1.5,120000,10002,131,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_17_17b,N1,17,17N2,44,carpet_red_small,52,90,1,1.3,120000,10002,131,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_18_18l,N1,18,18L,45,undead_red_mage_large,1,90,1,1.6,1400000,60002,287,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_18_18a,N1,18,18N1,46,undead_red_mage_large,7,90,1,1.6,140000,15002,143,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_18_18b,N1,18,18N2,47,undead_red_mage_small,30,90,1,1.5,140000,15002,143,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_18_18c,N1,18,18N3,48,golem_gray_small,22,90,1,1.3,140000,15002,143,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_19_19l,N1,19,19L,49,golem_gray_large,1,90,1,1.4,2000000,80002,311,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_19_19a,N1,19,19N1,50,golem_gray_large,7,90,1,1.4,200000,20002,155,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_19_19b,N1,19,19N2,51,golem_gray_small,52,90,1,1.3,200000,20002,155,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_20_20l,N1,20,20L,53,beast_striped_red,1,90,1,1,220000,22002,155,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：出怪顺序确认；同LV面板
n1_wave_20_20a,N1,20,20N1,54,beast_striped_red,59,90,1,1,220000,22002,155,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_20_20b,N1,20,20B,52,boss_blade_demon,1,90,1,1.3,1000000,121002,1197,1,1,1,assault_boss,flying,1,N1工作簿进攻Boss；独立assault_boss身份；证据：面板确认
n1_wave_21_21l,N1,21,21L,55,sea_beast_large,1,90,1,1.3,3000000,104002,311,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_21_21a,N1,21,21N1,56,sea_beast_large,7,90,1,1.3,300000,26002,155,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_21_21b,N1,21,21N2,57,sea_beast_small,52,90,1,1.2,300000,26002,155,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_22_22l,N1,22,22L,58,armored_horned_large,1,90,1,1.3,4000000,120002,323,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_22_22a,N1,22,22N1,59,armored_horned_large,7,90,1,1.3,400000,30002,161,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_22_22b,N1,22,22N2,60,armored_horned_small,52,90,1,1.2,400000,30002,161,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_23_23l,N1,23,23L,61,dragon_black_red_large,1,90,1,1.3,5000000,144002,335,0,0,1,wave_leader,flying,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_23_23a,N1,23,23N1,62,dragon_black_red_large,7,90,1,1.3,500000,36002,167,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_23_23b,N1,23,23N2,63,dragon_black_red_small,52,90,1,1.2,500000,36002,167,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_24_24l,N1,24,24L,64,stitcher_large,1,90,1,1.4,6000000,160002,359,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_24_24a,N1,24,24N1,65,stitcher_large,6,90,1,1.4,600000,44002,173,0,0,1,normal,,1,N1 W24混合波；普通怪每2只走地后1只飞行
n1_wave_24_24b,N1,24,24N2,66,stitcher_small,17,90,1,1.3,600000,44002,173,0,0,1,normal,,1,N1 W24混合波；普通怪每2只走地后1只飞行
n1_wave_24_24c,N1,24,24N3,67,humanoid_red_sword,17,90,1,1,600000,44002,173,0,0,1,normal,,1,N1 W24混合波；普通怪每2只走地后1只飞行
n1_wave_24_24d,N1,24,24N4,68,flying_black_bone,19,90,1,1.1,600000,22001,173,0,0,1,normal,flying,1,N1 W24混合波；普通怪每2只走地后1只飞行；飞行怪生命为首怪1/10、攻击为普通怪1/2
n1_wave_25_25l,N1,25,25L,69,golem_green_fire,1,90,1,1.4,1000000,52002,191,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：出怪顺序确认；同LV面板
n1_wave_25_25a,N1,25,25N1,70,golem_green_fire,59,90,1,1.4,1000000,52002,191,0,0,1,normal,,1,N1 W11-W25普通怪按原比例扩至本波59只；同波最低属性与现有模型映射不变；证据：用户确认数量同步
n1_wave_25_25b,N1,25,25B,68,boss_twinblade_demon,1,90,1,1.4,6000000,200002,1197,1,1,1,assault_boss,flying,1,N1工作簿进攻Boss；独立assault_boss身份；证据：面板确认
n3_wave_01_1n1,N3,1,1N1,1000,humanoid_white_melee,14,0,1,1,800,8,6,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_02_2n1,N3,2,2N1,1001,humanoid_red_axe,14,0,1,1,1200,18,9,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_03_3n1,N3,3,3N1,1002,skeleton_melee,14,0,1,1,2400,66,12,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_04_4n1,N3,4,4N1,1004,orc_large_melee,2,0,1,1.2,4000,242,24,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_04_4n2,N3,4,4N2,1005,orc_small_axe,12,0,1,1,4000,242,24,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_04_4l,N3,4,4L,1003,orc_large_melee,1,0,1,1.2,40000,962,48,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_05_5n1,N3,5,5N1,1008,demon_purple_melee,14,0,1,1.1,8000,802,24,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_05_5l,N3,5,5L,1007,demon_purple_melee,1,0,1,1.1,8000,802,24,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_05_5b,N3,5,5B,1006,boss_dreadlord,1,0,1,1.5,80040,5202,294,1,1,1,assault_boss,flying,1,N3工作簿进攻Boss；独立assault_boss身份
n3_wave_06_6n1,N3,6,6N1,1010,humanoid_white_melee,14,0,1,1,16000,1762,30,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_06_6l,N3,6,6L,1009,humanoid_white_melee,1,0,1,1,160000,7042,60,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_07_7n1,N3,7,7N1,1012,humanoid_red_axe,14,0,1,1,24000,3202,60,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_07_7l,N3,7,7L,1011,humanoid_red_axe,1,0,1,1,240000,12802,120,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_08_8n1,N3,8,8N1,1014,skeleton_melee,5,0,1,1,32000,3602,75,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_08_8n2,N3,8,8N2,1015,flying_red_gargoyle,9,0,1,1.1,32000,3602,225,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射；飞行高护甲怪；护甲为本波基准War3护甲3倍
n3_wave_08_8l,N3,8,8L,1013,flying_red_gargoyle,1,0,1,1.1,320000,14402,180,0,0,1,wave_leader,flying,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_09_9n1,N3,9,9N1,1017,orc_large_melee,2,0,1,1.2,40000,4802,90,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_09_9n2,N3,9,9N2,1018,orc_small_axe,12,0,1,1,40000,4802,90,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_09_9l,N3,9,9L,1016,orc_large_melee,1,0,1,1.2,400000,19202,180,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_10_10n1,N3,10,10N1,1021,demon_purple_melee,14,0,1,1.1,56000,6402,105,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_10_10l,N3,10,10L,1020,demon_purple_melee,1,0,1,1.1,56000,6402,105,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_10_10b,N3,10,10B,1019,boss_dreadlord,1,0,1,1.5,240040,32002,1194,1,1,1,assault_boss,flying,1,N3工作簿进攻Boss；独立assault_boss身份
n3_wave_11_11n1,N3,11,11N1,1023,beast_green_large,10,0,1,1.2,80000,8002,120,0,0,1,normal,,1,N3 W11混合波；普通怪每2只走地后1只飞行
n3_wave_11_11n2,N3,11,11N2,1024,skeleton_bone,30,0,1,1,80000,8002,120,0,0,1,normal,,1,N3 W11混合波；普通怪每2只走地后1只飞行
n3_wave_11_11n3,N3,11,11N3,1025,flying_red_gargoyle,19,0,1,1.1,80000,4001,360,0,0,1,normal,flying,1,N3 W11混合波；普通怪每2只走地后1只飞行；飞行怪生命为首怪1/10、攻击为普通怪1/2
n3_wave_11_11l,N3,11,11L,1022,beast_green_large,1,0,1,1.2,800000,32002,240,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大；W11普通怪已按批准修正为混合构成
n3_wave_12_12n1,N3,12,12N1,1027,dragon_red_large,8,0,1,1.2,96000,4802,405,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射；飞行高护甲怪；护甲为本波基准War3护甲3倍
n3_wave_12_12n2,N3,12,12N2,1028,dragon_red_small,51,0,1,1.1,96000,4802,405,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射；飞行高护甲怪；护甲为本波基准War3护甲3倍
n3_wave_12_12l,N3,12,12L,1026,flying_red_gargoyle,1,0,1,1.1,960000,19202,270,0,0,1,wave_leader,flying,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_13_13n1,N3,13,13N1,1030,orc_brown_large,13,0,1,1.2,240000,11202,180,0,0,1,normal,,1,N3 W13混合波；普通怪每2只走地后1只飞行
n3_wave_13_13n2,N3,13,13N2,1031,orc_brown_small,27,0,1,1,240000,11202,180,0,0,1,normal,,1,N3 W13混合波；普通怪每2只走地后1只飞行
n3_wave_13_13n3,N3,13,13N3,1032,flying_green_head,19,0,1,1.1,240000,5601,540,0,0,1,normal,flying,1,N3 W13混合波；普通怪每2只走地后1只飞行；飞行怪生命为首怪1/10、攻击为普通怪1/2
n3_wave_13_13l,N3,13,13L,1029,orc_brown_large,1,0,1,1.2,2400000,44802,360,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_14_14n1,N3,14,14N1,1034,dragon_purple_large,8,0,1,1.2,160000,4002,630,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射；飞行高护甲怪；护甲为本波基准War3护甲3倍
n3_wave_14_14n2,N3,14,14N2,1035,dragon_purple_small,51,0,1,1.1,160000,4002,630,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射；飞行高护甲怪；护甲为本波基准War3护甲3倍
n3_wave_14_14l,N3,14,14L,1033,flying_red_gargoyle,1,0,1,1.1,1600000,16002,420,0,0,1,wave_leader,flying,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_15_15n1,N3,15,15N1,1038,dwarf_white_rifle,59,0,1,1.4,320000,24002,240,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_15_15l,N3,15,15L,1037,dwarf_white_rifle,1,0,1,1.4,320000,24002,240,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_15_15b,N3,15,15B,1036,boss_twinblade_demon,1,0,1,1.4,1200040,120002,2994,1,1,1,assault_boss,flying,1,N3工作簿进攻Boss；独立assault_boss身份
n3_wave_16_16n1,N3,16,16N1,1040,orc_longnose_large,8,0,1,1.3,400000,32002,300,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_16_16n2,N3,16,16N2,1041,orc_longnose_small,32,0,1,1.1,400000,32002,300,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_16_16n3,N3,16,16N3,1042,flying_carpet_mage,19,0,1,1.5,400000,32002,900,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射；飞行高护甲怪；护甲为本波基准War3护甲3倍
n3_wave_16_16l,N3,16,16L,1039,orc_longnose_large,1,0,1,1.3,4000000,128002,600,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_17_17n1,N3,17,17N1,1044,carpet_red_large,8,0,1,1.5,480000,40002,330,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_17_17n2,N3,17,17N2,1045,carpet_red_small,51,0,1,1.3,480000,40002,330,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_17_17l,N3,17,17L,1043,carpet_red_large,1,0,1,1.5,4800000,160002,660,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_18_18n1,N3,18,18N1,1047,undead_red_mage_large,7,0,1,1.6,560000,60002,360,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_18_18n2,N3,18,18N2,1048,undead_red_mage_small,26,0,1,1.5,560000,60002,360,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_18_18n3,N3,18,18N3,1049,golem_gray_small,26,0,1,1.3,560000,60002,360,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_18_18l,N3,18,18L,1046,undead_red_mage_large,1,0,1,1.6,5600000,240002,720,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_19_19n1,N3,19,19N1,1051,golem_gray_large,6,0,1,1.4,800000,80002,390,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_19_19n2,N3,19,19N2,1052,golem_gray_small,53,0,1,1.3,800000,80002,390,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_19_19l,N3,19,19L,1050,golem_gray_large,1,0,1,1.4,8000000,320002,780,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_20_20n1,N3,20,20N1,1055,beast_striped_red,59,0,1,1,880000,88002,390,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_20_20l,N3,20,20L,1054,beast_striped_red,1,0,1,1,880000,88002,390,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_20_20b,N3,20,20B,1053,boss_blade_demon,1,0,1,1.3,4000040,484002,2994,1,1,1,assault_boss,,1,N3工作簿进攻Boss；独立assault_boss身份
n3_wave_21_21n1,N3,21,21N1,1057,sea_beast_large,7,0,1,1.3,1200000,104002,390,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_21_21n2,N3,21,21N2,1058,sea_beast_small,52,0,1,1.2,1200000,104002,390,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_21_21l,N3,21,21L,1056,sea_beast_large,1,0,1,1.3,12000000,416002,780,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_22_22n1,N3,22,22N1,1060,armored_horned_large,5,0,1,1.3,1600000,120002,405,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_22_22n2,N3,22,22N2,1061,armored_horned_small,54,0,1,1.2,1600000,120002,405,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射
n3_wave_22_22l,N3,22,22L,1059,armored_horned_large,1,0,1,1.3,16000000,480002,810,0,0,1,wave_leader,,1.15,N3工作簿首怪Boss；独立wave_leader身份；模型略大
n3_wave_23_23n1,N3,23,23N1,1063,dragon_black_red_large,6,0,1,1.3,2000000,144002,1260,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射；飞行高护甲怪；护甲为本波基准War3护甲3倍
n3_wave_23_23n2,N3,23,23N2,1064,dragon_black_red_small,53,0,1,1.2,2000000,144002,1260,0,0,1,normal,,1,N3工作簿数量；沿用N1模型映射；飞行高护甲怪；护甲为本波基准War3护甲3倍
